channel,a,b,rate_numeric,rate_analytic
site_amp_damp,128,2,1.0715205066694766,1.0714285714285714
site_amp_damp,128,4,1.1429209913390581,1.1428571428571428
site_amp_damp,128,8,1.2143265802359027,1.2142857142857144
site_amp_damp,128,16,1.2857372744551343,1.2857142857142856
site_amp_damp,128,32,1.357153075091766,1.3571428571428572
site_amp_damp,128,64,1.4285739832412547,1.4285714285714286
corr_dephase,1,2,-0.0,0.0
corr_dephase,1,4,3.9960000000001106,4.0
corr_dephase,1,8,3.9960000000001106,4.0
corr_dephase,1,16,3.9960000000001106,4.0
corr_dephase,1,32,3.9960000000001106,4.0
corr_dephase,1,64,3.9960000000001106,4.0
corr_dephase,1,128,3.9960000000001106,4.0
corr_dephase,2,1,-0.0,0.0
corr_dephase,2,4,3.9960000000001106,4.0
corr_dephase,2,8,3.9960000000001106,4.0
corr_dephase,2,16,3.9960000000001106,4.0
corr_dephase,2,32,3.9960000000001106,4.0
corr_dephase,2,64,3.9960000000001106,4.0
corr_dephase,2,128,3.9960000000001106,4.0
corr_dephase,4,1,3.9960000000001106,4.0
corr_dephase,4,2,3.9960000000001106,4.0
corr_dephase,4,8,-0.0,0.0
corr_dephase,4,16,3.9960000000001106,4.0
corr_dephase,4,32,3.9960000000001106,4.0
corr_dephase,4,64,3.9960000000001106,4.0
corr_dephase,4,128,3.9960000000001106,4.0
corr_dephase,8,1,3.9960000000001106,4.0
corr_dephase,8,2,3.9960000000001106,4.0
corr_dephase,8,4,-0.0,0.0
corr_dephase,8,16,3.9960000000001106,4.0
corr_dephase,8,32,3.9960000000001106,4.0
corr_dephase,8,64,3.9960000000001106,4.0
corr_dephase,8,128,3.9960000000001106,4.0
corr_dephase,16,1,3.9960000000001106,4.0
corr_dephase,16,2,3.9960000000001106,4.0
corr_dephase,16,4,3.9960000000001106,4.0
corr_dephase,16,8,3.9960000000001106,4.0
corr_dephase,16,32,-0.0,0.0
corr_dephase,16,64,3.9960000000001106,4.0
corr_dephase,16,128,3.9960000000001106,4.0
corr_dephase,32,1,3.9960000000001106,4.0
corr_dephase,32,2,3.9960000000001106,4.0
corr_dephase,32,4,3.9960000000001106,4.0
corr_dephase,32,8,3.9960000000001106,4.0
corr_dephase,32,16,-0.0,0.0
corr_dephase,32,64,3.9960000000001106,4.0
corr_dephase,32,128,3.9960000000001106,4.0
corr_dephase,64,1,3.9960000000001106,4.0
corr_dephase,64,2,3.9960000000001106,4.0
corr_dephase,64,4,3.9960000000001106,4.0
corr_dephase,64,8,3.9960000000001106,4.0
corr_dephase,64,16,3.9960000000001106,4.0
corr_dephase,64,32,3.9960000000001106,4.0
corr_dephase,64,128,-0.0,0.0
corr_dephase,128,1,3.9960000000001106,4.0
corr_dephase,128,2,3.9960000000001106,4.0
corr_dephase,128,4,3.9960000000001106,4.0
corr_dephase,128,8,3.9960000000001106,4.0
corr_dephase,128,16,3.9960000000001106,4.0
corr_dephase,128,32,3.9960000000001106,4.0
corr_dephase,128,64,-0.0,0.0
coh_diss_mix,1,2,0.9999999999998899,1.0
coh_diss_mix,1,4,0.9999999999998899,1.0
coh_diss_mix,1,8,0.9999999999998899,1.0
coh_diss_mix,1,16,0.9999999999998899,1.0
coh_diss_mix,1,32,0.9999999999998899,1.0
coh_diss_mix,1,64,0.9999999999998899,1.0
coh_diss_mix,1,128,0.9999999999998899,1.0
coh_diss_mix,2,1,0.9999999999998899,1.0
coh_diss_mix,2,4,0.9999999999998899,1.0
coh_diss_mix,2,8,0.9999999999998899,1.0
coh_diss_mix,2,16,0.9999999999998899,1.0
coh_diss_mix,2,32,0.9999999999998899,1.0
coh_diss_mix,2,64,0.9999999999998899,1.0
coh_diss_mix,2,128,0.9999999999998899,1.0
coh_diss_mix,4,1,0.9999999999998899,1.0
coh_diss_mix,4,2,0.9999999999998899,1.0
coh_diss_mix,4,8,0.9999999999998899,1.0
coh_diss_mix,4,16,0.9999999999998899,1.0
coh_diss_mix,4,32,0.9999999999998899,1.0
coh_diss_mix,4,64,0.9999999999998899,1.0
coh_diss_mix,4,128,0.9999999999998899,1.0
coh_diss_mix,8,1,0.9999999999998899,1.0
coh_diss_mix,8,2,0.9999999999998899,1.0
coh_diss_mix,8,4,0.9999999999998899,1.0
coh_diss_mix,8,16,0.9999999999998899,1.0
coh_diss_mix,8,32,0.9999999999998899,1.0
coh_diss_mix,8,64,0.9999999999998899,1.0
coh_diss_mix,8,128,0.9999999999998899,1.0
coh_diss_mix,16,1,0.9999999999998899,1.0
coh_diss_mix,16,2,0.9999999999998899,1.0
coh_diss_mix,16,4,0.9999999999998899,1.0
coh_diss_mix,16,8,0.9999999999998899,1.0
coh_diss_mix,16,32,0.9999999999998899,1.0
coh_diss_mix,16,64,0.9999999999998899,1.0
coh_diss_mix,16,128,0.9999999999998899,1.0
coh_diss_mix,32,1,0.9999999999998899,1.0
coh_diss_mix,32,2,0.9999999999998899,1.0
coh_diss_mix,32,4,0.9999999999998899,1.0
coh_diss_mix,32,8,0.9999999999998899,1.0
coh_diss_mix,32,16,0.9999999999998899,1.0
coh_diss_mix,32,64,0.9999999999998899,1.0
coh_diss_mix,32,128,0.9999999999998899,1.0
coh_diss_mix,64,1,0.9999999999998899,1.0
coh_diss_mix,64,2,0.9999999999998899,1.0
coh_diss_mix,64,4,0.9999999999998899,1.0
coh_diss_mix,64,8,0.9999999999998899,1.0
coh_diss_mix,64,16,0.9999999999998899,1.0
coh_diss_mix,64,32,0.9999999999998899,1.0
coh_diss_mix,64,128,0.9999999999998899,1.0
coh_diss_mix,128,1,0.9999999999998899,1.0
coh_diss_mix,128,2,0.9999999999998899,1.0
coh_diss_mix,128,4,0.9999999999998899,1.0
coh_diss_mix,128,8,0.9999999999998899,1.0
coh_diss_mix,128,16,0.9999999999998899,1.0
coh_diss_mix,128,32,0.9999999999998899,1.0
coh_diss_mix,128,64,0.9999999999998899,1.0
