kind,index,lambda_coh,omega_mode,omega_resp,in_unit_interval,mode_ge_resp
dephasing_profile,125,5.6800625021850015,0.8124812280160514,0.4090830670815308,True,True
dephasing_profile,126,8.023266029935083,0.28113158664635635,0.2597236120431686,True,True
dephasing_profile,127,5.817903950846803,0.7322705994358032,0.2175035958643209,True,True
dephasing_profile,128,7.011070716430368,0.7444664692981464,0.538130788328589,True,True
dephasing_profile,129,6.185414972740388,0.5785674243030435,0.2233891722663326,True,True
dephasing_profile,130,7.0585874986934805,0.5137974641103102,0.25660071266912166,True,True
dephasing_profile,131,5.726099813450181,0.7607322633440609,0.45926638717808704,True,True
dephasing_profile,132,5.320641222223754,0.8038335493021944,0.46409399360505016,True,True
dephasing_profile,133,5.794742694897437,0.689505516956054,0.49605245520199664,True,True
dephasing_profile,134,6.983385808612241,0.5754099310507498,0.27901837744225405,True,True
dephasing_profile,135,6.553142575392523,0.5554164991160048,0.23503549525450382,True,True
dephasing_profile,136,6.311753090573968,0.5503832010171599,0.25404886949389066,True,True
dephasing_profile,137,5.895191634198271,0.6090111730289005,0.5323150141161741,True,True
dephasing_profile,138,7.063657685762448,0.42663443610327684,0.2893103431789843,True,True
dephasing_profile,139,6.481876279321841,0.5887343941298308,0.17994612905038135,True,True
dephasing_profile,140,6.524257502241171,0.5548726564575591,0.3502569533322616,True,True
dephasing_profile,141,5.442192787448619,0.8937940124217036,0.4364426326136711,True,True
dephasing_profile,142,6.651579469410085,0.3899675048582343,0.18263986075219354,True,True
dephasing_profile,143,6.48879372826594,0.4727203359538868,0.29609113805846937,True,True
dephasing_profile,144,7.665389496390729,0.41840790289950547,0.13858468627809944,True,True
dephasing_profile,145,5.845044554484979,0.5029094220155506,0.4156261662141106,True,True
dephasing_profile,146,5.931579156061129,0.6651935329935024,0.5757136874558707,True,True
dephasing_profile,147,6.068263536399332,0.419688920848654,0.371831517685222,True,True
dephasing_profile,148,6.486546907323532,0.5358060999259059,0.18834942690999004,True,True
dephasing_profile,149,5.925791536534497,0.8129872619218632,0.5817107835770857,True,True
zz_edge_set,0,5.9880080000001,0.13039359005706544,0.44488918518478693,True,False
zz_edge_set,1,3.9960000000001106,0.17693016002771192,0.33366700033365454,True,False
zz_edge_set,2,3.9960000000001106,0.35350645973537786,0.6666666666666556,True,False
zz_edge_set,3,7.976031984000098,0.34065223270477407,0.33400066666533035,True,True
zz_edge_set,4,7.976031984000098,0.41970787416303657,0.3340006666653303,True,True
zz_edge_set,5,3.9960000000001106,0.5033726637063954,0.33366700033365454,True,True
zz_edge_set,6,7.976031984000098,0.6525783738629453,0.1671675008334954,True,True
zz_edge_set,7,2.0000000000000018,0.31654005645898475,3.363361700769233e-16,True,True
zz_edge_set,8,7.976031984000098,0.41045991894428757,0.16716750083349516,True,True
zz_edge_set,9,3.9960000000001106,0.018501703341537615,0.3336670003336547,True,False
zz_edge_set,10,5.9880080000001,0.4290878219666957,4.490909989154019e-16,True,True
zz_edge_set,11,7.976031984000098,0.41045991894428757,0.16716750083349524,True,True
zz_edge_set,12,2.0000000000000018,0.036966403276393146,0.6666666666666596,True,False
zz_edge_set,13,3.9960000000001106,0.661484263479206,0.33366700033365454,True,True
zz_edge_set,14,7.976031984000098,0.33140427748602513,0.16716750083349516,True,True
zz_edge_set,15,7.976031984000098,0.34065223270477407,0.3340006666653303,True,True
zz_edge_set,16,7.976031984000098,0.5736808436875989,0.1671675008334954,True,True
zz_edge_set,17,7.976031984000098,0.41045991894428757,0.1671675008334954,True,True
zz_edge_set,18,7.976031984000098,0.6618234569242442,0.33400066666533035,True,True
zz_edge_set,19,7.976031984000098,0.5736808436875989,0.16716750083349544,True,True
zz_edge_set,20,2.0000000000000018,0.9687836789735114,3.363361700769233e-16,True,True
zz_edge_set,21,3.9960000000001106,0.6429883159757561,5.094490126143915e-16,True,True
zz_edge_set,22,3.9960000000001106,0.3350417598005224,0.3336670003336547,True,True
zz_edge_set,23,3.9960000000001106,0.1584284566861743,3.366728429198342e-16,True,True
zz_edge_set,24,7.976031984000098,0.33140427748602513,0.1671675008334954,True,True
zz_edge_set,25,7.976031984000098,0.41970787416303657,0.3340006666653305,True,True
zz_edge_set,26,5.9880080000001,0.10572466050779482,3.399725341728219e-16,True,True
zz_edge_set,27,2.0000000000000018,0.9687836789735114,3.363361700769233e-16,True,True
zz_edge_set,28,3.9960000000001106,0.018501703341537615,0.3336670003336547,True,False
zz_edge_set,29,5.9880080000001,0.23590680124385027,0.4448891851847868,True,False
zz_edge_set,30,7.976031984000098,0.5829259267488979,0.3340006666653303,True,True
zz_edge_set,31,7.976031984000098,0.5736808436875989,0.16716750083349544,True,True
zz_edge_set,32,7.976031984000098,0.33140427748602513,0.16716750083349544,True,True
zz_edge_set,33,3.9960000000001106,0.48487671620294565,3.366728429198342e-16,True,True
zz_edge_set,34,2.0000000000000018,2.9267443326820273e-34,3.363361700769233e-16,True,True
zz_edge_set,35,3.9960000000001106,0.48487671620294565,3.366728429198342e-16,True,True
zz_edge_set,36,7.976031984000098,0.34065223270477407,0.33400066666533035,True,True
zz_edge_set,37,5.9880080000001,0.118071472094016,0.22266725985224126,True,False
zz_edge_set,38,2.0000000000000018,2.9267443326820273e-34,3.363361700769233e-16,True,True
zz_edge_set,39,3.9960000000001106,0.018501703341537615,0.3336670003336547,True,False
zz_edge_set,40,5.9880080000001,0.23590680124385027,0.4448891851847868,True,False
zz_edge_set,41,7.976031984000098,0.5829259267488979,0.3340006666653305,True,True
